time,vSI,vs
6.29499999999999993,4.99812977132841425e+1,9.03682953187327775e-3
6.29600000000000026,4.99815127524201017e+1,9.04652920461743171e-3
6.29699999999999971,4.9981728584381969e+1,9.05573665407616649e-3
6.29800000000000004,4.99819451967712354e+1,9.06445165080278781e-3
6.29900000000000038,4.99821625771565436e+1,9.07267399286549453e-3
6.29999999999999982,4.99823807130743489e+1,9.08040350587616639e-3
6.30100000000000016,4.99825995920297501e+1,9.08764004301424073e-3
6.30200000000000049,4.99828192014971791e+1,9.0943834850557518e-3
6.30299999999999994,4.99830395289211395e+1,9.10063374039439543e-3
6.30400000000000027,4.99832605617169321e+1,9.1063907450630345e-3
6.30499999999999972,4.99834822872714923e+1,9.11165446275112589e-3
6.30600000000000005,4.99837046929439879e+1,9.11642488482586333e-3
6.30700000000000038,4.9983927766066671e+1,9.12070203034439503e-3
6.30799999999999983,4.99841514939456175e+1,9.1244859460680415e-3
6.30900000000000016,4.99843758638614162e+1,9.12777670647496597e-3
6.3100000000000005,4.99846008630699785e+1,9.13057441376834665e-3
6.31099999999999994,4.99848264788032566e+1,9.13287919788423677e-3
6.31200000000000028,4.99850526982700245e+1,9.13469121649772287e-3
6.31299999999999972,4.99852795086565749e+1,9.13601065502749055e-3
6.31400000000000006,4.998550689712755e+1,9.13683772663542032e-3
6.31500000000000039,4.99857348508266313e+1,9.13717267222865538e-3
6.31599999999999984,4.99859633568773134e+1,9.13701576045588063e-3
6.31700000000000017,4.99861924023836934e+1,9.1363672877040232e-3
6.3180000000000005,4.9986421974431174e+1,9.13522757809195896e-3
6.31899999999999995,4.9986652060087259e+1,9.13359698346255869e-3
6.32000000000000028,4.99868826464023002e+1,9.13147588337194678e-3
6.32099999999999973,4.99871137204102709e+1,9.12886468507835211e-3
6.32200000000000006,4.99873452691294773e+1,9.12576382352832047e-3
6.3230000000000004,4.99875772795633608e+1,9.12217376133950264e-3
6.32399999999999984,4.99878097387012801e+1,9.11809498878178581e-3
6.32500000000000018,4.99880426335192283e+1,9.11352802376073565e-3
6.32600000000000051,4.99882759509805723e+1,9.10847341179330666e-3
6.32699999999999996,4.99885096780368769e+1,9.10293172598233488e-3
6.32800000000000029,4.99887438016286509e+1,9.09690356699277038e-3
6.32899999999999974,4.99889783086860646e+1,9.09038956302292422e-3
6.33000000000000007,4.99892131861297742e+1,9.08339036977378299e-3
6.33100000000000041,4.9989448420871625e+1,9.07590667041855391e-3
6.33199999999999985,4.99896839998154618e+1,9.067939175566345e-3
6.33300000000000018,4.99899199098578464e+1,9.05948862322861377e-3
6.33400000000000052,4.9990156137888853e+1,9.05055577877808895e-3
6.33499999999999996,4.99903926707928363e+1,9.04114143491018159e-3
6.3360000000000003,4.99906294954491486e+1,9.03124641160264752e-3
6.33699999999999974,4.99908665987329215e+1,9.02087155606816002e-3
6.33800000000000008,4.99911039675158619e+1,9.01001774270892078e-3
6.33900000000000041,4.99913415886669554e+1,8.99868587307034624e-3
6.33999999999999986,4.99915794490532619e+1,8.98687687578848295e-3
6.34100000000000019,4.99918175355406902e+1,8.97459170653956001e-3
6.34200000000000053,4.99920558349946731e+1,8.96183134798550149e-3
6.34299999999999997,4.99922943342810484e+1,8.948596809716396e-3
6.34400000000000031,4.99925330202667197e+1,8.93488912819394125e-3
6.34499999999999975,4.99927718798204452e+1,8.92070936669042518e-3
6.34600000000000009,4.99930108998136049e+1,8.90605861522612841e-3
6.34700000000000042,4.99932500671209397e+1,8.89093799050599994e-3
6.34799999999999986,4.99934893686213258e+1,8.87534863585271935e-3
